name,lines,lat,lon
송파나루,9호선,37.5112303,127.1128828
수내,수인·분당선,37.3784199,127.1142279
수락산,7호선,37.6770108,127.0552337
수리산,4호선,37.3498152,126.9253962
수색,경의·중앙선,37.5809734,126.8950228
수서,3호선|GTX-A|수인·분당선,37.487427,127.1019706
수원,1호선|수인·분당선,37.266659,127.0013487
수원시청,수인·분당선,37.2617563,127.0319033
수유,4호선,37.6379893,127.0256914
수지구청,신분당선,37.3224903,127.0947567
수진,8호선,37.4374574,127.1406647
숙대입구,4호선,37.5451375,126.9719211
숭실대입구,7호선,37.4956558,126.9541388
숭의,수인·분당선,37.461239,126.6370849
시민공원,인천2호선,37.4583648,126.6813015
시우,서해선,37.3130971,126.7957458
시청,1호선|2호선,37.5630913,126.9739637
시청·용인대,에버라인,37.2393407,127.1786666
시흥능곡,서해선,37.3702397,126.8088237
시흥대야,서해선,37.4501052,126.7930513
시흥시청,서해선,37.3820236,126.8058094
신갈,수인·분당선,37.286116,127.1113353
신검단중앙,인천1호선,37.6026243,126.6985169
신금호,5호선,37.5544558,127.0202666
신길,1호선|5호선,37.5175712,126.9165959
신길온천,4호선|수인·분당선,37.3380983,126.7661867
신내,6호선|경춘선,37.6126451,127.1032226
신논현,9호선|신분당선,37.5045465,127.0248738
신답,2호선,37.5692823,127.0474214
신당,2호선|6호선,37.5656525,127.0198141
신대방,2호선,37.4875967,126.91343
신대방삼거리,7호선,37.49972,126.9282087
신도림,1호선|2호선,37.5089506,126.8911913
신둔도예촌,경강선,37.3156754,127.405275
신림,2호선|신림선,37.4842228,126.9296985
신목동,9호선,37.544227,126.8831853
신반포,9호선,37.5035801,126.9964259
신방화,9호선,37.5674056,126.8178288
신사,3호선|신분당선,37.5161705,127.0196309
신설동,1호선|2호선|우이신설선,37.5740982,127.0263347
신연수,인천1호선,37.418023,126.6938361
신용산,4호선,37.5291568,126.9678072
신원,경의·중앙선,37.5262402,127.3724619
신이문,1호선,37.600931,127.0669802
신정,5호선,37.5250652,126.8559381
신정네거리,2호선,37.5200245,126.853057
신중동,7호선,37.5030595,126.7762185
신창,1호선,36.7694233,126.9507896
신천,서해선,37.4393371,126.7868733
신촌,2호선|경의·중앙선,37.5551787,126.9369091
신포,수인·분당선,37.4689305,126.6236807
신풍,7호선,37.5001548,126.9089367
신현,서해선,37.4096889,126.7878815
신흥,8호선,37.4410138,127.1476254
쌍문,4호선,37.6484204,127.0345485
쌍용,1호선,36.7933314,127.1205757
아라,인천1호선,37.592185,126.7133151
아산,1호선,36.7917816,127.1035459
아시아드경기장,인천2호선,37.5510172,126.6770356
아신,경의·중앙선,37.5141696,127.4421485
아차산,5호선,37.5517023,127.0898223
아현,2호선,37.5574487,126.9561344
안국,3호선,37.5768286,126.9862272
안산,4호선|수인·분당선,37.3274089,126.7879605
안암,6호선,37.5862818,127.029329
안양,1호선,37.4006749,126.9238319
암사,8호선,37.5490025,127.1270746
암사역사공원,8호선,37.5568968,127.1365133
압구정,3호선,37.5261356,127.0284705
압구정로데오,수인·분당선,37.5278201,127.0406811
애오개,5호선,37.553447,126.9566713
야당,경의·중앙선,37.7132647,126.7616058
야목,수인·분당선,37.2616308,126.8833633
야탑,수인·분당선,37.4112829,127.1286881
약수,3호선|6호선,37.5548296,127.0105499
양수,경의·중앙선,37.5464099,127.3281417
양원,경의·중앙선,37.6064164,127.1072307
양재,3호선|신분당선,37.4845433,127.034317
양재시민의숲,신분당선,37.4701433,127.0383592
양정,경의·중앙선,37.6046783,127.1941174
양주,1호선,37.7733153,127.0447041
양천구청,2호선,37.5123003,126.8659115
양천향교,9호선,37.5684782,126.8412018
양촌,김포골드라인,37.6416447,126.6147532
양평(5호선),5호선,37.525654,126.886125
양평(경의·중앙선),경의·중앙선,37.4934572,127.4912666
어룡,의정부경전철,37.7425371,127.0852351
어린이대공원,7호선,37.5476281,127.0743859
어정,에버라인,37.274898,127.1435379
어천,수인·분당선,37.2503749,126.9081819
언주,9호선,37.5073701,127.0341153
여의나루,5호선,37.5268661,126.9325101
여의도,5호선|9호선,37.5217071,126.9241053
여주,경강선,37.282823,127.6290136
역곡,1호선,37.4848544,126.8111076
역삼,2호선,37.5007895,127.0369159
역촌,6호선,37.6060541,126.9228008
연수,수인·분당선,37.4183698,126.6779472
연신내,3호선|6호선|GTX-A,37.6194491,126.920858
연천,1호선,38.1004613,127.0738629
염창,9호선,37.5470051,126.8754428
영등포,1호선,37.5154485,126.9072862
영등포구청,2호선|5호선,37.5253151,126.8965366
영등포시장,5호선,37.5227195,126.9051311
영종,공항철도,37.5120219,126.5248572
영통,수인·분당선,37.2513838,127.0712437
예술회관,인천1호선,37.4500621,126.701031
오금,3호선|5호선,37.5021419,127.1283544
오남,4호선,37.7057341,127.1923455
오류동,1호선,37.4939856,126.8434437
오리,수인·분당선,37.3406386,127.1088934
오목교,5호선,37.5245758,126.8751578
오목천,수인·분당선,37.2431034,126.9634832
오빈,경의·중앙선,37.5064442,127.4726689
오산,1호선,37.1438724,127.0666675
오산대,1호선,37.1687277,127.0633372
오이도,4호선|수인·분당선,37.3628018,126.738718
옥수,3호선|경의·중앙선,37.5408763,127.0178475
온수,1호선|7호선,37.4919928,126.8229565
온양온천,1호선,36.7806844,127.002185
올림픽공원,5호선|9호선,37.5160799,127.1303019
완정,인천2호선,37.5925926,126.6728784
왕길,인천2호선,37.5952783,126.6427535
왕십리,2호선|5호선|경의·중앙선|수인·분당선,37.5612222,127.0371358
외대앞,1호선,37.5956329,127.063374
용답,2호선,37.5617246,127.0510125
용두,2호선,37.5738711,127.038702
용마산,7호선,37.5738974,127.0864879
용문,경의·중앙선,37.4820467,127.5947947
용산,1호선|경의·중앙선,37.5305621,126.9663678
용인중앙시장,에버라인,37.2378213,127.2088372
우장산,5호선,37.5488674,126.8363427
운길산,경의·중앙선,37.555176,127.308969
운서,공항철도,37.4928378,126.4937063
운양,김포골드라인,37.6538351,126.683853
운연,인천2호선,37.4393136,126.7594871
운정,경의·중앙선,37.7262417,126.7674433
운정중앙,GTX-A,37.7161256,126.7281994
운천,경의·중앙선,37.8798294,126.7699418
원당,3호선,37.6538264,126.8433973
원덕,경의·중앙선,37.4689667,127.5454542
원시,서해선,37.3025413,126.7868312
원인재,수인·분당선|인천1호선,37.4136809,126.6856687
원종,서해선,37.5221625,126.8049364
원흥,3호선,37.6504946,126.8737376
월계,1호선,37.6323154,127.0588626
월곡,6호선,37.601924,127.041489
월곶,수인·분당선,37.3921604,126.7423159
월드컵경기장,6호선,37.5701609,126.8992939
월롱,경의·중앙선,37.7974275,126.7930258
을지로3가,2호선|3호선,37.5663629,126.9925882
을지로4가,2호선|5호선,37.5666655,126.9979998
을지로입구,2호선,37.5659777,126.982607
응봉,경의·중앙선,37.549548,127.0342619
응암,6호선,37.598774,126.9157018
의왕,1호선,37.3193973,126.9482854
의정부,1호선,37.7366367,127.0464268
의정부시청,의정부경전철,37.7393951,127.0348982
의정부중앙,의정부경전철,37.7436756,127.0498713
이대,2호선,37.5567916,126.9458415
이매,경강선|수인·분당선,37.3952494,127.1282124
이수,7호선,37.4853378,126.9819566
이천,경강선,37.264255,127.4421828
이촌,4호선|경의·중앙선,37.5226181,126.9736117
이태원,6호선,37.534481,126.994386
인덕원,4호선,37.4013614,126.9769874
인천,1호선|수인·분당선,37.4769719,126.6173267
인천가좌,인천2호선,37.4895993,126.6751276
인천공항1터미널,공항철도,37.4472569,126.4526977
인천공항2터미널,공항철도,37.4688911,126.4334999
인천논현,수인·분당선,37.4004832,126.7215322
인천대공원,인천2호선,37.44843,126.7533155
인천대입구,인천1호선,37.3860781,126.639682
인천시청,인천1호선|인천2호선,37.4567305,126.7028705
인천터미널,인천1호선,37.4419055,126.6996538
인하대,수인·분당선,37.4489904,126.6493767
일산,경의·중앙선|서해선,37.682014,126.7698544
일원,3호선,37.4837678,127.0841812
임진강,경의·중앙선,37.8882254,126.7492154
임학,인천1호선,37.5451731,126.7386823
자양,7호선,37.5308705,127.0664071
작전,인천1호선,37.5303134,126.7224693
잠실,2호선|8호선,37.5136906,127.1016671
잠실나루,2호선,37.5198837,127.1043045
잠실새내,2호선,37.5115479,127.0864332
잠원,3호선,37.5127485,127.0110886
장기,김포골드라인,37.6440357,126.6689623
장승배기,7호선,37.5049927,126.9391954
장암,7호선,37.7001801,127.053075
장자호수공원,8호선,37.5864905,127.1378478
장지,8호선,37.4788927,127.1260371
장한평,5호선,37.5615078,127.0645955
전곡,1호선,38.0237849,127.0724112
전대·에버랜드,에버라인,37.2852395,127.2196707
정릉,우이신설선,37.6027532,127.013338
정발산,3호선,37.6597112,126.7732179
정부과천청사,4호선,37.4264288,126.9897471
정왕,4호선|수인·분당선,37.3520536,126.7419901
정자,수인·분당선|신분당선,37.3653889,127.1080933
제1터미널,공항셔틀트레인,37.4495509,126.4501984
제2터미널,공항셔틀트레인,37.4660048,126.4356355
제기동,1호선,37.5783087,127.0335456
제물포,1호선,37.4666952,126.6565865
종각,1호선,37.5701195,126.9821118
종로3가,1호선|3호선|5호선,37.5720185,126.9916922
종로5가,1호선,37.5709298,127.0011763
종합운동장,2호선|9호선,37.5112839,127.0753203
주안,1호선|인천2호선,37.4648978,126.6788699
주안국가산단,인천2호선,37.4732154,126.6808599
주엽,3호선,37.670111,126.7612341
죽전,수인·분당선,37.3245639,127.1073844
중계,7호선,37.6455228,127.0638548
중곡,7호선,37.5662958,127.08449
중동,1호선,37.4867408,126.7630781
중랑,경의·중앙선|경춘선,37.5946995,127.0753534
중앙,4호선|수인·분당선,37.3160633,126.8374647
중앙보훈병원,9호선,37.5282699,127.148286
중화,7호선,37.6016296,127.07945
증미,9호선,37.557422,126.86193
증산,6호선,37.5841289,126.9098598
지석,에버라인,37.2696367,127.1364687
지식정보단지,인천1호선,37.3780649,126.6456102
지축,3호선,37.6479341,126.9149061
지평,경의·중앙선,37.4768122,127.6288612
지행,1호선,37.8915262,127.0557765
직산,1호선,36.8701914,127.1443262
진위,1호선,37.109307,127.0623878
진접,4호선,37.7212032,127.2031634
창동,1호선|4호선,37.6529636,127.0466586
창신,6호선,37.579786,127.015273
천마산,경춘선,37.659229,127.2850612
천안,1호선,36.8106632,127.1466993
천왕,7호선,37.4863535,126.8389512
천호,5호선|8호선,37.5380736,127.1232037
철산,7호선,37.4760589,126.8677626
청계산입구,신분당선,37.4483921,127.0545673
청구,5호선|6호선,37.5602864,127.0138544
청담,7호선,37.5188573,127.0500373
청라국제도시,공항철도,37.5565025,126.6246726
청량리,1호선|경의·중앙선|경춘선|수인·분당선,37.5806416,127.0482186
청명,수인·분당선,37.2599984,127.0794894
청산,1호선,37.9943328,127.0736759
청평,경춘선,37.7355228,127.4266248
초당,에버라인,37.2609153,127.1594568
초월,경강선,37.3731656,127.30047
초지,4호선|서해선|수인·분당선,37.3211622,126.8049024
총신대입구,4호선,37.487026,126.9822046
춘의,7호선,37.5037437,126.7871771
춘천,경춘선,37.8845276,127.7166203
충무로,3호선|4호선,37.5606488,126.9948063
충정로,2호선|5호선,37.5593594,126.9636659
캠퍼스타운,인천1호선,37.3879193,126.6615323
킨텍스,GTX-A,37.6651542,126.748263
탄현,경의·중앙선,37.6946855,126.761013
탑석,의정부경전철,37.7334804,127.0889389
탑승동,공항셔틀트레인,37.4557368,126.4447355
탕정,1호선,36.7878853,127.0835332
태릉입구,6호선|7호선,37.6172248,127.0745285
태평,수인·분당선,37.4397071,127.1277192
테크노파크,인천1호선,37.3820801,126.6558454
퇴계원,경춘선,37.6482702,127.1435237
파주,경의·중앙선,37.8157295,126.7922097
판교,경강선|신분당선,37.3943639,127.1111873
팔당,경의·중앙선,37.5481215,127.2429811
평내호평,경춘선,37.6532437,127.2444979
평촌,4호선,37.3942706,126.9638926
평택,1호선,36.9899153,127.0863711
평택지제,1호선,37.0182009,127.070582
풍무,김포골드라인,37.6124305,126.7324458
풍산,경의·중앙선|서해선,37.6728688,126.7859221
하계,7호선,37.6359753,127.0682067
하남검단산,5호선,37.5397123,127.2237049
하남시청,5호선,37.5416948,127.2070277
하남풍산,5호선,37.5528048,127.2043263
학동,7호선,37.5139701,127.0307332
학여울,3호선,37.4964802,127.0699125
한강진,6호선,37.5398199,127.0017633
한국항공대,경의·중앙선,37.6032316,126.8677587
한남,경의·중앙선,37.5291501,127.0085345
한대앞,4호선|수인·분당선,37.3104519,126.852888
