source,rel,target
Compound::DB01149,RESEMBLES_CC,Compound::DB00623
Compound::DB00836,RESEMBLES_CC,Compound::DB00561
Compound::DB00676,RESEMBLES_CC,Compound::DB08799
Compound::DB00797,RESEMBLES_CC,Compound::DB06711
Compound::DB00751,RESEMBLES_CC,Compound::DB01619
Compound::DB00540,RESEMBLES_CC,Compound::DB06148
Compound::DB01069,RESEMBLES_CC,Compound::DB00564
Compound::DB01165,RESEMBLES_CC,Compound::DB01059
Compound::DB01298,RESEMBLES_CC,Compound::DB01582
Compound::DB06707,RESEMBLES_CC,Compound::DB00221
Compound::DB00420,RESEMBLES_CC,Compound::DB09014
Compound::DB00902,RESEMBLES_CC,Compound::DB00751
Compound::DB00118,RESEMBLES_CC,Compound::DB00194
Compound::DB00598,RESEMBLES_CC,Compound::DB00542
Compound::DB01036,RESEMBLES_CC,Compound::DB06702
Compound::DB01624,RESEMBLES_CC,Compound::DB00850
Compound::DB00420,RESEMBLES_CC,Compound::DB08802
Compound::DB00294,RESEMBLES_CC,Compound::DB00624
Compound::DB01283,RESEMBLES_CC,Compound::DB00939
Compound::DB04938,RESEMBLES_CC,Compound::DB00925
Compound::DB01063,RESEMBLES_CC,Compound::DB01615
Compound::DB00841,RESEMBLES_CC,Compound::DB01288
Compound::DB00396,RESEMBLES_CC,Compound::DB00378
Compound::DB01212,RESEMBLES_CC,Compound::DB01328
Compound::DB01603,RESEMBLES_CC,Compound::DB01061
Compound::DB00680,RESEMBLES_CC,Compound::DB00623
Compound::DB00352,RESEMBLES_CC,Compound::DB01033
Compound::DB06218,RESEMBLES_CC,Compound::DB01121
Compound::DB01615,RESEMBLES_CC,Compound::DB00508
Compound::DB00631,RESEMBLES_CC,Compound::DB00928
Compound::DB00378,RESEMBLES_CC,Compound::DB00990
Compound::DB00564,RESEMBLES_CC,Compound::DB00434
Compound::DB00333,RESEMBLES_CC,Compound::DB00257
Compound::DB01351,RESEMBLES_CC,Compound::DB00599
Compound::DB01420,RESEMBLES_CC,Compound::DB00717
Compound::DB08996,RESEMBLES_CC,Compound::DB00647
Compound::DB00584,RESEMBLES_CC,Compound::DB00790
Compound::DB00631,RESEMBLES_CC,Compound::DB00242
Compound::DB00811,RESEMBLES_CC,Compound::DB00631
Compound::DB01182,RESEMBLES_CC,Compound::DB00600
Compound::DB01047,RESEMBLES_CC,Compound::DB01013
Compound::DB01066,RESEMBLES_CC,Compound::DB00438
Compound::DB01075,RESEMBLES_CC,Compound::DB00792
Compound::DB00250,RESEMBLES_CC,Compound::DB06729
Compound::DB02300,RESEMBLES_CC,Compound::DB00169
Compound::DB00777,RESEMBLES_CC,Compound::DB01239
Compound::DB00839,RESEMBLES_CC,Compound::DB00634
Compound::DB00836,RESEMBLES_CC,Compound::DB01231
Compound::DB00713,RESEMBLES_CC,Compound::DB00948
Compound::DB01166,RESEMBLES_CC,Compound::DB01238
Compound::DB01148,RESEMBLES_CC,Compound::DB09002
Compound::DB01621,RESEMBLES_CC,Compound::DB01614
Compound::DB00130,RESEMBLES_CC,Compound::DB00155
Compound::DB01086,RESEMBLES_CC,Compound::DB01035
Compound::DB00274,RESEMBLES_CC,Compound::DB01328
Compound::DB00277,RESEMBLES_CC,Compound::DB00201
Compound::DB00655,RESEMBLES_CC,Compound::DB04575
Compound::DB00229,RESEMBLES_CC,Compound::DB01413
Compound::DB01625,RESEMBLES_CC,Compound::DB00496
Compound::DB00192,RESEMBLES_CC,Compound::DB00934
Compound::DB00458,RESEMBLES_CC,Compound::DB00768
Compound::DB01231,RESEMBLES_CC,Compound::DB00561
Compound::DB00252,RESEMBLES_CC,Compound::DB01320
Compound::DB00874,RESEMBLES_CC,Compound::DB00243
Compound::DB01037,RESEMBLES_CC,Compound::DB06770
Compound::DB01466,RESEMBLES_CC,Compound::DB00327
Compound::DB01150,RESEMBLES_CC,Compound::DB01112
Compound::DB00376,RESEMBLES_CC,Compound::DB01062
Compound::DB04837,RESEMBLES_CC,Compound::DB01069
Compound::DB00475,RESEMBLES_CC,Compound::DB00349
Compound::DB00334,RESEMBLES_CC,Compound::DB00543
Compound::DB00813,RESEMBLES_CC,Compound::DB00771
Compound::DB00722,RESEMBLES_CC,Compound::DB00731
Compound::DB01140,RESEMBLES_CC,Compound::DB01060
Compound::DB01239,RESEMBLES_CC,Compound::DB08802
Compound::DB01558,RESEMBLES_CC,Compound::DB00186
Compound::DB00527,RESEMBLES_CC,Compound::DB01118
Compound::DB00477,RESEMBLES_CC,Compound::DB01242
Compound::DB00689,RESEMBLES_CC,Compound::DB01602
Compound::DB06781,RESEMBLES_CC,Compound::DB01047
Compound::DB00680,RESEMBLES_CC,Compound::DB00933
Compound::DB00649,RESEMBLES_CC,Compound::DB00432
Compound::DB00452,RESEMBLES_CC,Compound::DB06696
Compound::DB01176,RESEMBLES_CC,Compound::DB00557
Compound::DB01621,RESEMBLES_CC,Compound::DB01071
Compound::DB00976,RESEMBLES_CC,Compound::DB00778
Compound::DB01185,RESEMBLES_CC,Compound::DB00603
Compound::DB00856,RESEMBLES_CC,Compound::DB01297
Compound::DB01080,RESEMBLES_CC,Compound::DB06775
Compound::DB01299,RESEMBLES_CC,Compound::DB01581
Compound::DB01162,RESEMBLES_CC,Compound::DB00590
Compound::DB00902,RESEMBLES_CC,Compound::DB00933
Compound::DB01049,RESEMBLES_CC,Compound::DB01200
Compound::DB01009,RESEMBLES_CC,Compound::DB00643
Compound::DB00171,RESEMBLES_CC,Compound::DB00928
Compound::DB01395,RESEMBLES_CC,Compound::DB00717
Compound::DB00250,RESEMBLES_CC,Compound::DB00259
Compound::DB00404,RESEMBLES_CC,Compound::DB00690
Compound::DB00130,RESEMBLES_CC,Compound::DB00129
Compound::DB01068,RESEMBLES_CC,Compound::DB01558
Compound::DB00656,RESEMBLES_CC,Compound::DB06684
Compound::DB00117,RESEMBLES_CC,Compound::DB00120
Compound::DB00304,RESEMBLES_CC,Compound::DB06730
Compound::DB00844,RESEMBLES_CC,Compound::DB00295
Compound::DB00322,RESEMBLES_CC,Compound::DB00495
Compound::DB00427,RESEMBLES_CC,Compound::DB09002
Compound::DB00567,RESEMBLES_CC,Compound::DB01332
Compound::DB00777,RESEMBLES_CC,Compound::DB01433
Compound::DB00777,RESEMBLES_CC,Compound::DB00623
Compound::DB00190,RESEMBLES_CC,Compound::DB00244
Compound::DB00781,RESEMBLES_CC,Compound::DB00035
Compound::DB00393,RESEMBLES_CC,Compound::DB06712
Compound::DB01398,RESEMBLES_CC,Compound::DB00936
Compound::DB00671,RESEMBLES_CC,Compound::DB01066
Compound::DB00546,RESEMBLES_CC,Compound::DB01544
Compound::DB01009,RESEMBLES_CC,Compound::DB00821
Compound::DB00747,RESEMBLES_CC,Compound::DB00462
Compound::DB01403,RESEMBLES_CC,Compound::DB00420
Compound::DB00671,RESEMBLES_CC,Compound::DB00456
Compound::DB00655,RESEMBLES_CC,Compound::DB04573
Compound::DB01428,RESEMBLES_CC,Compound::DB01397
Compound::DB00838,RESEMBLES_CC,Compound::DB08970
Compound::DB00741,RESEMBLES_CC,Compound::DB00624
Compound::DB00403,RESEMBLES_CC,Compound::DB06699
Compound::DB00394,RESEMBLES_CC,Compound::DB00769
Compound::DB01102,RESEMBLES_CC,Compound::DB01288
Compound::DB00839,RESEMBLES_CC,Compound::DB01016
Compound::DB08799,RESEMBLES_CC,Compound::DB00647
Compound::DB01009,RESEMBLES_CC,Compound::DB00809
Compound::DB00264,RESEMBLES_CC,Compound::DB00187
Compound::DB00832,RESEMBLES_CC,Compound::DB00849
Compound::DB00234,RESEMBLES_CC,Compound::DB00245
Compound::DB00281,RESEMBLES_CC,Compound::DB01002
Compound::DB08998,RESEMBLES_CC,Compound::DB01136
Compound::DB00475,RESEMBLES_CC,Compound::DB00546
Compound::DB00411,RESEMBLES_CC,Compound::DB01019
Compound::DB00408,RESEMBLES_CC,Compound::DB00719
Compound::DB01553,RESEMBLES_CC,Compound::DB01511
Compound::DB00710,RESEMBLES_CC,Compound::DB00884
Compound::DB01253,RESEMBLES_CC,Compound::DB01186
Compound::DB00748,RESEMBLES_CC,Compound::DB00648
Compound::DB08990,RESEMBLES_CC,Compound::DB01433
Compound::DB01420,RESEMBLES_CC,Compound::DB00700
Compound::DB00257,RESEMBLES_CC,Compound::DB01231
Compound::DB01577,RESEMBLES_CC,Compound::DB00168
Compound::DB00300,RESEMBLES_CC,Compound::DB00718
Compound::DB00349,RESEMBLES_CC,Compound::DB00433
Compound::DB08971,RESEMBLES_CC,Compound::DB00635
Compound::DB00394,RESEMBLES_CC,Compound::DB00547
Compound::DB00914,RESEMBLES_CC,Compound::DB01577
Compound::DB00242,RESEMBLES_CC,Compound::DB00432
Compound::DB00399,RESEMBLES_CC,Compound::DB00884
Compound::DB00421,RESEMBLES_CC,Compound::DB00621
Compound::DB00784,RESEMBLES_CC,Compound::DB06802
Compound::DB00155,RESEMBLES_CC,Compound::DB00123
Compound::DB01184,RESEMBLES_CC,Compound::DB06144
Compound::DB00675,RESEMBLES_CC,Compound::DB00882
Compound::DB00367,RESEMBLES_CC,Compound::DB08804
Compound::DB00729,RESEMBLES_CC,Compound::DB00771
Compound::DB00295,RESEMBLES_CC,Compound::DB00956
Compound::DB00726,RESEMBLES_CC,Compound::DB01246
Compound::DB00753,RESEMBLES_CC,Compound::DB00228
Compound::DB00651,RESEMBLES_CC,Compound::DB00806
Compound::DB00936,RESEMBLES_CC,Compound::DB01397
Compound::DB01071,RESEMBLES_CC,Compound::DB01591
Compound::DB00572,RESEMBLES_CC,Compound::DB04838
Compound::DB08996,RESEMBLES_CC,Compound::DB01614
Compound::DB00689,RESEMBLES_CC,Compound::DB01328
Compound::DB00973,RESEMBLES_CC,Compound::DB04842
Compound::DB01061,RESEMBLES_CC,Compound::DB00607
Compound::DB00287,RESEMBLES_CC,Compound::DB01160
Compound::DB00866,RESEMBLES_CC,Compound::DB00264
Compound::DB01489,RESEMBLES_CC,Compound::DB01588
Compound::DB01567,RESEMBLES_CC,Compound::DB01068
Compound::DB00317,RESEMBLES_CC,Compound::DB04946
Compound::DB00120,RESEMBLES_CC,Compound::DB00949
Compound::DB08996,RESEMBLES_CC,Compound::DB00564
Compound::DB01071,RESEMBLES_CC,Compound::DB00777
Compound::DB01581,RESEMBLES_CC,Compound::DB00664
Compound::DB01628,RESEMBLES_CC,Compound::DB00482
Compound::DB00798,RESEMBLES_CC,Compound::DB00955
Compound::DB00896,RESEMBLES_CC,Compound::DB00635
Compound::DB01114,RESEMBLES_CC,Compound::DB00405
Compound::DB00891,RESEMBLES_CC,Compound::DB00359
Compound::DB00865,RESEMBLES_CC,Compound::DB00600
Compound::DB08796,RESEMBLES_CC,Compound::DB08802
Compound::DB06729,RESEMBLES_CC,Compound::DB00664
Compound::DB08936,RESEMBLES_CC,Compound::DB00349
Compound::DB08996,RESEMBLES_CC,Compound::DB01615
Compound::DB01146,RESEMBLES_CC,Compound::DB06148
Compound::DB00093,RESEMBLES_CC,Compound::DB00781
Compound::DB06590,RESEMBLES_CC,Compound::DB00438
Compound::DB00270,RESEMBLES_CC,Compound::DB01054
Compound::DB08936,RESEMBLES_CC,Compound::DB00363
Compound::DB01185,RESEMBLES_CC,Compound::DB00764
Compound::DB06729,RESEMBLES_CC,Compound::DB00634
Compound::DB00571,RESEMBLES_CC,Compound::DB01193
Compound::DB00517,RESEMBLES_CC,Compound::DB00332
Compound::DB00945,RESEMBLES_CC,Compound::DB00939
Compound::DB01623,RESEMBLES_CC,Compound::DB00768
Compound::DB01189,RESEMBLES_CC,Compound::DB00753
Compound::DB01384,RESEMBLES_CC,Compound::DB00324
Compound::DB08906,RESEMBLES_CC,Compound::DB00591
Compound::DB00797,RESEMBLES_CC,Compound::DB00182
Compound::DB01247,RESEMBLES_CC,Compound::DB01577
Compound::DB00561,RESEMBLES_CC,Compound::DB00496
Compound::DB00741,RESEMBLES_CC,Compound::DB01222
Compound::DB08795,RESEMBLES_CC,Compound::DB00713
Compound::DB00731,RESEMBLES_CC,Compound::DB00188
Compound::DB08990,RESEMBLES_CC,Compound::DB00561
Compound::DB06707,RESEMBLES_CC,Compound::DB00610
Compound::DB01212,RESEMBLES_CC,Compound::DB00430
Compound::DB00780,RESEMBLES_CC,Compound::DB00182
Compound::DB01620,RESEMBLES_CC,Compound::DB00925
Compound::DB01044,RESEMBLES_CC,Compound::DB01137
Compound::DB00487,RESEMBLES_CC,Compound::DB00467
Compound::DB00583,RESEMBLES_CC,Compound::DB00122
Compound::DB00485,RESEMBLES_CC,Compound::DB00713
Compound::DB00283,RESEMBLES_CC,Compound::DB01228
Compound::DB00543,RESEMBLES_CC,Compound::DB01511
Compound::DB01436,RESEMBLES_CC,Compound::DB00146
Compound::DB01252,RESEMBLES_CC,Compound::DB00492
Compound::DB00560,RESEMBLES_CC,Compound::DB01017
Compound::DB01567,RESEMBLES_CC,Compound::DB01558
Compound::DB00417,RESEMBLES_CC,Compound::DB01053
Compound::DB01393,RESEMBLES_CC,Compound::DB01016
Compound::DB00778,RESEMBLES_CC,Compound::DB00954
Compound::DB01061,RESEMBLES_CC,Compound::DB00948
Compound::DB00581,RESEMBLES_CC,Compound::DB01172
Compound::DB01430,RESEMBLES_CC,Compound::DB04842
Compound::DB00831,RESEMBLES_CC,Compound::DB00363
Compound::DB01428,RESEMBLES_CC,Compound::DB00676
Compound::DB00745,RESEMBLES_CC,Compound::DB06802
Compound::DB01063,RESEMBLES_CC,Compound::DB00433
Compound::DB01399,RESEMBLES_CC,Compound::DB00712
Compound::DB01393,RESEMBLES_CC,Compound::DB00328
Compound::DB01431,RESEMBLES_CC,Compound::DB04575
Compound::DB00737,RESEMBLES_CC,Compound::DB00341
Compound::DB00978,RESEMBLES_CC,Compound::DB00487
Compound::DB00423,RESEMBLES_CC,Compound::DB00243
Compound::DB01452,RESEMBLES_CC,Compound::DB00956
Compound::DB00468,RESEMBLES_CC,Compound::DB00908
Compound::DB00683,RESEMBLES_CC,Compound::DB00842
Compound::DB01242,RESEMBLES_CC,Compound::DB00508
