iata,name,city,country,lat,lon
TNJ,Raja Haji Fisabilillah International Airport,Tanjung Pinang,Indonesia,0.9227,104.532
TNN,Tainan Airport,Tainan,Taiwan,22.9504,120.206
TOF,Bogashevo Airport,Tomsk,Russia,56.3803,85.2083
TOY,Toyama Airport,Toyama,Japan,36.6483,137.188
TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,25.0777,121.233
TRK,Juwata Airport,Taraken,Indonesia,3.3267,117.5694
TRR,China Bay Airport,Trinciomalee,Sri Lanka,8.5385,81.1819
TRV,Trivandrum International Airport,Trivandrum,India,8.4821,76.9201
TRZ,Tiruchirapally Civil Airport Airport,Tiruchirappalli,India,10.7654,78.7097
TSA,Taipei Songshan Airport,Taipei,Taiwan,25.0694,121.552
TSE,Astana International Airport,Tselinograd,Kazakhstan,51.0222,71.4669
TSJ,Tsushima Airport,Tsushima,Japan,34.2849,129.331
TSN,Tianjin Binhai International Airport,Tianjin,China,39.1244,117.346
TST,Trang Airport,Trang,Thailand,7.5087,99.6166
TTE,Sultan Khairun Babullah Airport,Ternate,Indonesia,0.8314,127.381
TTJ,Tottori Airport,Tottori,Japan,35.5301,134.167
TTT,Taitung Airport,Fengnin,Taiwan,22.755,121.102
TUG,Tuguegarao Airport,Tuguegarao,Philippines,17.6434,121.7332
TUI,Turaif Domestic Airport,Turaif,Saudi Arabia,31.6922,38.7315
TUK,Turbat International Airport,Turbat,Pakistan,25.9864,63.0302
TUU,Tabuk Airport,Tabuk,Saudi Arabia,28.3654,36.6189
TVY,Dawei Airport,Dawei,Burma,14.1039,98.2036
TWU,Tawau Airport,Tawau,Malaysia,4.3202,118.128
TXN,Tunxi International Airport,Huangshan,China,29.7333,118.256
TYN,Taiyuan Wusu Airport,Taiyuan,China,37.7469,112.628
UBJ,Yamaguchi Ube Airport,Yamaguchi,Japan,33.93,131.279
UBP,Ubon Ratchathani Airport,Ubon Ratchathani,Thailand,15.2513,104.87
UDR,Maharana Pratap Airport,Udaipur,India,24.6177,73.8961
UEO,Kumejima Airport,Kumejima,Japan,26.3635,126.714
UET,Quetta International Airport,Quetta,Pakistan,30.2514,66.9378
UFA,Ufa International Airport,Ufa,Russia,54.5575,55.8744
UGC,Urgench Airport,Urgench,Uzbekistan,41.5843,60.6417
UIH,Phu Cat Airport,Phucat,Vietnam,13.955,109.042
UKB,Kobe Airport,Kobe,Japan,34.6328,135.224
UKK,Ust-Kamennogorsk Airport,Ust Kamenogorsk,Kazakhstan,50.0366,82.4942
UKX,Ust-Kut Airport,Ust-Kut,Russia,56.8567,105.73
ULG,Ulgii Mongolei Airport,Olgii,Mongolia,48.9933,89.9225
ULH,Majeed Bin Abdulaziz Airport,Al-Ula,Saudi Arabia,26.48,38.1289
ULK,Lensk Airport,Lensk,Russia,60.7206,114.826
ULN,Chinggis Khaan International Airport,Ulan Bator,Mongolia,47.8431,106.767
ULO,Ulaangom Airport,Ulaangom,Mongolia,50.0666,91.9383
UNN,Ranong Airport,Ranong,Thailand,9.7776,98.5855
UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,-5.0616,119.554
URA,Uralsk Airport,Uralsk,Kazakhstan,51.1508,51.5431
URC,Ürümqi Diwopu International Airport,Urumqi,China,43.9071,87.4742
URJ,Uray Airport,Uraj,Russia,60.1033,64.8267
URT,Surat Thani Airport,Surat Thani,Thailand,9.1326,99.1356
URY,Gurayat Domestic Airport,Guriat,Saudi Arabia,31.4124,37.2789
USM,Samui Airport,Ko Samui,Thailand,9.5478,100.062
USN,Ulsan Airport,Ulsan,South Korea,35.5935,129.352
USU,Francisco B. Reyes Airport,Busuanga,Philippines,12.1215,120.1
UTH,Udon Thani Airport,Udon Thani,Thailand,17.3864,102.788
UTP,U-Tapao International Airport,Pattaya,Thailand,12.6799,101.005
UUD,Ulan-Ude Airport (Mukhino),Ulan-ude,Russia,51.8078,107.438
UUS,Yuzhno-Sakhalinsk Airport,Yuzhno-sakhalinsk,Russia,46.8887,142.718
UYN,Yulin Yuyang Airport,Yulin,China,38.3597,109.5909
VCA,Can Tho International Airport,Can Tho,Vietnam,10.0851,105.712
VCL,Chu Lai International Airport,Chu Lai,Vietnam,15.4033,108.706
VCS,Co Ong Airport,Conson,Vietnam,8.7318,106.633
VDH,Dong Hoi Airport,Dong Hoi,Vietnam,17.515,106.5906
VGA,Vijayawada Airport,Vijayawada,India,16.5304,80.7968
VII,Vinh Airport,Vinh,Vietnam,18.7376,105.671
VKG,Rach Gia Airport,Rach Gia,Vietnam,9.958,105.1324
VNS,Lal Bahadur Shastri Airport,Varanasi,India,25.4524,82.8593
VRC,Virac Airport,Virac,Philippines,13.5764,124.206
VTE,Wattay International Airport,Vientiane,Laos,17.9883,102.563
VTZ,Vishakhapatnam Airport,Vishakhapatnam,India,17.7212,83.2245
VVO,Vladivostok International Airport,Vladivostok,Russia,43.399,132.148
WEF,Weifang Airport,Weifang,China,36.6467,119.119
WGP,Umbu Mehang Kunda Airport,Waingapu,Indonesia,-9.6692,120.302
WJU,Wonju Airport,Wonju,South Korea,37.4412,127.9639
WKJ,Wakkanai Airport,Wakkanai,Japan,45.4042,141.801
WMX,Wamena Airport,Wamena,Indonesia,-4.1025,138.957
WNP,Naga Airport,Naga,Philippines,13.5849,123.27
WNZ,Wenzhou Longwan International Airport,Wenzhou,China,27.9122,120.852
WUA,Wuhai Airport,Wuhai,China,39.7934,106.7993
WUH,Wuhan Tianhe International Airport,Wuhan,China,30.7838,114.208
WUS,Nanping Wuyishan Airport,Wuyishan,China,27.7019,118.001
WUX,Sunan Shuofang International Airport,Wuxi,China,31.4944,120.429
WUZ,Wuzhou Changzhoudao Airport,Wuzhou,China,23.4567,111.248
WXN,Wanxian Airport,Wanxian,China,30.8017,108.433
XBJ,Birjand Airport,Birjand,Iran,32.8981,59.2661
XFN,Xiangyang Liuji Airport,Xiangfan,China,32.1506,112.291
XIC,Xichang Qingshan Airport,Xichang,China,27.9891,102.184
XIL,Xilinhot Airport,Xilinhot,China,43.9156,115.964
XIY,Xi'an Xianyang International Airport,Xi'an,China,34.4471,108.752
XKH,Xieng Khouang Airport,Phon Savan,Laos,19.45,103.158
XMN,Xiamen Gaoqi International Airport,Xiamen,China,24.544,118.128
XNN,Xining Caojiabu Airport,Xining,China,36.5275,102.043
XSB,Sir Bani Yas Airport,Sir Bani Yas Island,United Arab Emirates,24.2836,52.5803
XUZ,Xuzhou Guanyin Airport,Xuzhou,China,34.0591,117.5553
YBP,Yibin Caiba Airport,Yibin,China,28.8006,104.545
YCU,Yuncheng Guangong Airport,Yuncheng,China,35.1164,111.0314
YES,Yasouj Airport,Yasuj,Iran,30.7005,51.5451
YGJ,Miho Yonago Airport,Miho,Japan,35.4922,133.236
YIC,Yichun Mingyueshan Airport,Yichun,China,27.8025,114.3062
YIH,Yichang Sanxia Airport,Yichang,China,30.5566,111.48
YIN,Yining Airport,Yining,China,43.9558,81.3303
YIW,Yiwu Airport,Yiwu,China,29.3447,120.032
YKS,Yakutsk Airport,Yakutsk,Russia,62.0933,129.771
YNB,Prince Abdulmohsin Bin Abdulaziz Airport,Yenbo,Saudi Arabia,24.1442,38.0634
YNJ,Yanji Chaoyangchuan Airport,Yanji,China,42.8828,129.451
YNT,Yantai Laishan Airport,Yantai,China,37.4017,121.372
YNY,Yangyang International Airport,Yangyang,South Korea,38.0613,128.669
YNZ,Yancheng Airport,Yancheng,China,33.4258,120.2031
YTY,Yangzhou Taizhou Airport,Yangzhou,China,32.5634,119.7198
YUS,Yushu Batang Airport,Yushu,China,32.8364,97.0364
ZAH,Zahedan International Airport,Zahedan,Iran,29.4757,60.9062
ZAM,Zamboanga International Airport,Zamboanga,Philippines,6.9224,122.06
ZAT,Zhaotong Airport,Zhaotong,China,27.3256,103.755
ZBR,Konarak Airport,Chah Bahar,Iran,25.4433,60.3821
ZHA,Zhanjiang Airport,Zhanjiang,China,21.2144,110.358
ZHY,Zhongwei Shapotou Airport,Zhongwei,China,37.5731,105.1545
ZUH,Zhuhai Jinwan Airport,Zhuhai,China,22.0064,113.376
ZVK,Savannakhet Airport,Savannakhet,Laos,16.5566,104.76
ZYI,Zunyi Xinzhou Airport,Zunyi,China,27.5895,107.0007
ZYL,Osmany International Airport,Sylhet Osmani,Bangladesh,24.9632,91.8668
